plant_name,user_level,scientific_name,tunisian_name,plant_type,description,watering,light,temperature,humidity,fertilizer,misting,pruning
lavender,beginner,Lavandula angustifolia,خزامى,Outdoor • Aromatic • Relaxing,"Lavender is a fragrant Mediterranean shrub with silvery foliage and purple flower spikes. It is widely used for relaxation, perfumes, and dried bouquets.","Water once a week during the first growing season, then every 10–14 days once established. Always let the soil dry between waterings.",Full sun with at least 6 hours of direct light per day.,10–28°C. Tolerates some drought and mild cold when well-established.,"Prefers dry to moderately dry air. Avoid very humid, stagnant conditions.",Feed sparingly once or twice in spring with a low-nitrogen fertilizer.,Do not mist; lavender prefers dry foliage.,Trim back lightly after flowering to keep a compact shape and prevent woody growth.
lemon,intermediate,Citrus limon,ليمون,Outdoor • Fruit ,Lemon trees are evergreen citrus plants that produce fragrant flowers and tangy fruits. They grow well in pots or in the ground in mild climates.,"Water once or twice per week in warm months, keeping the soil moist but not waterlogged. Allow the top 3–4 cm of soil to dry before watering again.",Full sun for 5–8 hours daily for good flowering and fruiting.,10–30°C. Protect from frost and very cold winds.,Medium humidity is ideal; avoid extremely dry indoor air for potted trees.,Use a citrus fertilizer every 4 weeks from spring to early autumn.,"Occasional light misting can help in dry indoor air, avoiding flowers and fruit.",Prune lightly after harvest or in late winter to remove dead wood and maintain shape.
mint,beginner,Mentha spicata,نعناع,Indoor • Outdoor • Aromatic ,"Mint is a vigorous herb with refreshing, aromatic leaves. It grows quickly and is perfect for teas, cooking, and fresh garnishes.","Water every 2–3 days in warm weather, keeping the soil evenly moist. Do not let the soil dry out completely for long periods.",Bright indirect light indoors or partial shade outdoors.,12–26°C. Tolerates light cool temperatures but not frost in pots.,Medium humidity suits mint well. Avoid very dry air indoors.,"Feed every 3–4 weeks with a light, balanced fertilizer during active growth.",Optional light misting in dry rooms; avoid constant wet leaves.,Regularly cut stems for harvest and remove flower spikes to keep the plant leafy and productive.
monstera,beginner,Monstera deliciosa,مونستيرا,Indoor •Tropical• Decorative,"Monstera is a popular indoor plant with large, perforated leaves. It adds a bold, tropical look to interiors and grows as a climbing plant.","Water once a week in spring and summer, allowing the top 3–4 cm of soil to dry between waterings. In winter, water every 10–14 days.",Bright indirect light. Avoid direct harsh sun on the leaves.,18–28°C. Protect from cold drafts and temperatures below 15°C.,Medium to high humidity. Appreciates a more humid environment.,Feed every 4 weeks during spring and summer with a balanced liquid fertilizer.,Lightly mist the leaves 1–2 times per week to increase humidity and clean dust.,Prune to control size and remove yellow or damaged leaves. Provide a support stake or moss pole.
oleander,intermediate,Nerium oleander,دفلى,Outdoor • Flowering ,"Oleander is an evergreen shrub with long, narrow leaves and clusters of colorful flowers. It is very ornamental but all parts of the plant are toxic if ingested.","Water once or twice a week in hot weather, allowing the soil to dry slightly between waterings. In cooler months, water every 10–14 days.",Full sun to light partial shade for abundant flowering.,10–30°C. Tolerates heat well but should be protected from severe frost.,Handles normal outdoor humidity. Ensure good drainage.,Feed every 4 weeks in spring and summer with a balanced flowering plant fertilizer.,No misting needed and should be avoided.,"Prune after flowering to shape the shrub and remove dead or crossing branches, wearing gloves."
olive,intermediate,Olea europaea,زيتون,Outdoor • Fruit ,"Olive trees are hardy Mediterranean evergreens valued for their silvery foliage and oil-rich fruits. They adapt well to pots or open ground in sunny, dry climates.","Water once a week during the first years, then every 10–14 days once established. Let the soil dry between waterings.",Full sun with at least 6 hours of direct sunlight daily.,"5–30°C. Mature trees tolerate brief light frosts, but young trees need protection.",Prefers dry to moderately dry air and well-drained soil.,Feed in spring and early summer with a fertilizer for fruit trees or olives.,No misting necessary; olives prefer dry foliage.,"Prune in late winter to open the canopy, remove crossing branches, and maintain a balanced shape."
orchid,intermediate,Phalaenopsis sp.,أوركيديا,Indoor • Flowering,"Orchids (such as Phalaenopsis) are elegant indoor plants with long-lasting, delicate flowers. They grow on bark-based substrates and prefer stable indoor conditions.","Water once a week by soaking the potting mix, then let it drain completely. In cooler months, water every 10–12 days.",Bright indirect light; avoid direct sun on the leaves.,18–26°C. Avoid sudden temperature changes and cold drafts.,Medium to high humidity (50–70%) is ideal. Use a humidity tray if the air is dry.,Feed every 2–3 weeks with a special orchid fertilizer diluted to half strength.,Lightly mist around the plant (not in the crown) to raise humidity without leaving standing water.,Cut the flower spike back above a node after flowering or remove it entirely if it turns brown.
peace_lily,beginner,Spathiphyllum wallisii,زنبق السلام,Indoor • Air purifying,Peace lily is an elegant indoor plant with glossy leaves and white spathes. It is known for filtering indoor air and thriving in lower light conditions.,"Water once a week, keeping the soil slightly moist. If leaves droop, water immediately and adjust frequency.",Low to medium indirect light. Avoid strong direct sun that can scorch the leaves.,18–26°C. Keep away from cold drafts and sudden temperature drops.,Medium to high humidity. Prefers a more humid environment than very dry air.,Feed every 4–6 weeks in spring and summer with a balanced houseplant fertilizer.,Mist the leaves lightly 1–2 times per week to increase humidity and keep them clean.,Remove yellow leaves and spent flowers at the base to keep the plant tidy and healthy.
peperomia,beginner,Peperomia obtusifolia,بيبيروميا,Indoor •  decorative,"Peperomia is a compact houseplant with thick, textured leaves in various patterns. It is easy to care for and well-suited to small spaces and desks.","Water every 7–10 days, letting the top 2–3 cm of soil dry before watering again. Avoid overwatering and soggy soil.",Bright to medium indirect light. Tolerates lower light but grows more slowly.,18–26°C. Avoid cold drafts and temperatures below 15°C.,Low to medium humidity. Normal indoor conditions are usually fine.,Feed every 4–6 weeks during spring and summer with a diluted houseplant fertilizer.,Occasional light misting is possible but not essential.,"Pinch or trim leggy stems to encourage a compact, bushy shape and remove damaged leaves."
pepper,intermediate,Capsicum annuum,فلفل,Outdoor  • veggie,"Pepper plants produce colorful fruits that can be sweet or spicy, depending on the variety. They are ideal for sunny vegetable gardens or large containers.","Water every 2–3 days in hot weather, keeping the soil evenly moist. Mulch the soil to reduce evaporation.",Full sun for at least 6 hours a day for good fruiting.,18–30°C. Sensitive to cold; protect from temperatures below 12°C.,Medium humidity with good air circulation to avoid fungal problems.,Feed every 2–3 weeks with a fertilizer rich in potassium once flowering begins.,No misting needed; avoid wetting the foliage repeatedly.,Remove yellow leaves and weak side shoots as needed; support the plant if stems bend under fruit weight.
pomegranate,intermediate,Punica granatum,رمان,Outdoor • Fruit ,"Pomegranate is a small fruit tree with bright flowers and decorative, vitamin-rich fruits. It suits warm, sunny gardens and can also be grown in large pots.","Water once a week during the growing season, allowing the soil to dry slightly between waterings. Reduce watering once the tree is well-established.",Full sun for best flowering and fruit development.,10–32°C. Tolerates some drought and mild frost when mature.,Average outdoor humidity is suitable; ensure well-drained soil.,"Feed in spring with a balanced fertilizer, then again in early summer if growth is weak.",No misting required.,"Prune in late winter to remove crossing branches and maintain an open, balanced crown."
potato,beginner,Solanum tuberosum,بطاطا,Outdoor • Veggie,Potato plants are grown for their underground tubers used as a staple food. They are easy to grow in garden beds or large containers with loose soil.,"Water 1–2 times per week, keeping the soil evenly moist but not waterlogged. Reduce watering once foliage begins to yellow before harvest.",Full sun for best yield.,10–24°C. Prefers cooler seasons for tuber formation.,Average outdoor humidity with well-drained soil.,"Incorporate compost before planting and, if needed, feed once at mid-growth with a low-nitrogen fertilizer.",No misting. Avoid wetting foliage excessively to reduce disease.,Pruning is not needed; simply remove diseased or heavily damaged foliage if necessary.
rose,intermediate,Rosa hybrida,وردة,Outdoor • Flowering • Decorative,"Roses are classic garden shrubs with elegant, often fragrant flowers. They come in many forms and colors, adding structure and romance to the garden.","Water deeply once or twice per week, depending on weather and soil. Water at the base, avoiding wet leaves.",Full sun for at least 5–6 hours per day for abundant blooms.,10–28°C. Hardy varieties tolerate colder winters when mulched.,Prefers moderate humidity and good air circulation.,Feed every 4–6 weeks from spring to mid-summer with a rose fertilizer.,Do not mist foliage; moisture on leaves can encourage fungal diseases.,"Prune in late winter to early spring to remove dead wood and shape the plant, encouraging strong new growth."
rosemary,beginner,Salvia rosmarinus,إكليل الجبل,Outdoor • Aromatic ,Rosemary is a woody Mediterranean herb with needle-like leaves and a strong aroma. It is used fresh or dried in cooking and can form decorative hedges.,"Water once a week in warm weather, allowing the soil to dry between waterings. In cooler periods, water every 10–14 days.",Full sun with at least 6 hours of light daily.,10–26°C. Protect from very hard frosts in cold climates.,Prefers dry to moderately dry conditions and well-drained soil.,Feed lightly once a month in spring and summer; avoid over-fertilizing.,No misting; rosemary prefers dry foliage.,Prune lightly after flowering to keep a compact shape and prevent the plant from becoming too woody.
rubber_plant,beginner,Ficus elastica,فيكس مطاط,Indoor • Decorative,"Rubber plant is an indoor tree with large, glossy leaves. It makes a strong visual statement and grows well in bright rooms.","Water once every 7–10 days, letting the top 3–4 cm of soil dry between waterings. In winter, extend to every 10–14 days.",Bright indirect light; tolerates some gentle morning sun.,18–28°C. Avoid cold drafts and temperatures below 15°C.,Low to medium humidity. Normal indoor air is usually adequate.,Feed every 4–6 weeks in spring and summer with a balanced houseplant fertilizer.,Occasional light misting or wiping leaves with a damp cloth to remove dust.,"Prune to control height and encourage branching, cutting above a node with clean tools."
scented_geranium,beginner,Pelargonium graveolens,عطرشية,Indoor • Outdoor • Anti-stress,Scented geranium has fragrant leaves that release perfume when touched. It is often grown in pots for its calming scent and decorative foliage.,"Water every 4–7 days, letting the top 2–3 cm of soil dry between waterings. Avoid leaving the roots in standing water.","Bright light with some direct sun, such as a sunny windowsill or balcony.",12–26°C. Protect from frost and very cold nights.,Average humidity. Prefers good air circulation.,Feed every 4 weeks in spring and summer with a balanced fertilizer at half strength.,No misting needed; keep foliage relatively dry.,Pinch back growing tips to keep the plant compact and remove faded leaves or stems.
snake_plant,beginner,Dracaena trifasciata,لسان الحما,Indoor • Succulent • Air purifying,"Snake plant has upright, sword-like leaves with striking patterns. It is extremely hardy and known for improving indoor air quality.","Water every 2–3 weeks, allowing the soil to dry completely before watering again. In winter, water once every 4 weeks.",Low to bright indirect light. Tolerates low light better than many houseplants.,16–28°C. Protect from cold drafts and temperatures below 10°C.,Low humidity. Handles dry indoor air very well.,Feed lightly every 6–8 weeks during spring and summer with a balanced fertilizer.,No misting required. Keep leaves dry to avoid rot.,Remove yellow or damaged leaves at the base; otherwise pruning is minimal.
spider_plant,beginner,Chlorophytum comosum,نبات العنكبوت,Indoor • Air purifying,Spider plant is an easy-going houseplant that produces arching leaves and baby plantlets. It is well-known for filtering indoor air pollutants.,"Water once a week, allowing the top layer of soil to dry slightly. In warm, dry rooms you may need to water every 5–6 days.",Bright to medium indirect light. Avoid strong direct sun that can scorch leaves.,16–26°C. Tolerates slightly cooler nights.,Medium humidity. Brown tips can appear if the air is very dry or water is heavily chlorinated.,Feed every 4 weeks in spring and summer with a diluted houseplant fertilizer.,Light misting 1–2 times per week can reduce brown tips in dry air.,Trim brown tips and remove old plantlets or flower stalks to keep the plant tidy.
thyme,beginner,Thymus vulgaris,زعتر,Outdoor • Aromatic ,"Thyme is a low-growing Mediterranean herb with tiny, aromatic leaves. It is used fresh or dried in cooking and also works as a decorative ground cover.","Water every 7–10 days, allowing the soil to dry between waterings. Thyme prefers slightly dry conditions.",Full sun for at least 6 hours a day.,10–26°C. Tolerates mild cold once established in well-drained soil.,Prefers dry to moderately dry air and good drainage.,Feed lightly once or twice in spring; too much fertilizer reduces flavor.,No misting; thyme prefers dry foliage.,Trim lightly after flowering or harvest to keep the plant dense and prevent it from becoming woody.
tomato,intermediate,Solanum lycopersicum,طماطم,Outdoor • Veggie,Tomato plants are vigorous growers that produce juicy fruits in many shapes and colors. They are a staple in vegetable gardens and container plantings.,"Water every 2–3 days in hot weather, keeping the soil evenly moist. Avoid wetting the foliage; water at the base of the plant.",Full sun for at least 6–8 hours per day for good yields.,18–30°C. Sensitive to frost; plant outdoors only after danger of frost has passed.,Moderate humidity with good air circulation to reduce fungal diseases.,Feed every 2–3 weeks with a tomato or high-potassium fertilizer once flowering starts.,Do not mist foliage; this can promote diseases.,"Remove lower leaves touching the soil and, for indeterminate varieties, pinch side shoots if needed."
tulip,beginner,Tulipa gesneriana,توليب,Outdoor • Flowering ,"Tulips are spring-blooming bulbs with bright, cup-shaped flowers. They add vivid color to borders, pots, and seasonal displays.","Water after planting and keep soil lightly moist until growth appears. During flowering, water once a week if there is no rain.",Full sun to light partial shade.,Best grown in regions with cool winters; bulbs need a cold period to bloom well.,Average outdoor humidity is fine with well-drained soil.,Apply a bulb fertilizer at planting and again just after flowering if bulbs will remain in place.,No misting required.,Remove spent flowers but keep the leaves until they yellow so the bulb can store energy.
zz_plant,beginner,Zamioculcas zamiifolia,زاميفوليا,Indoor ,"ZZ plant is a tough indoor plant with thick, glossy leaves and strong stems. It tolerates low light and irregular watering, making it ideal for busy people.","Water every 2–3 weeks, allowing the soil to dry completely between waterings. In winter, water once every 4 weeks.",Low to medium indirect light. Avoid strong direct sun.,18–28°C. Keep away from cold drafts and temperatures below 15°C.,Low to medium humidity. Very tolerant of dry indoor air.,Feed every 6–8 weeks during spring and summer with a diluted houseplant fertilizer.,No misting needed; simply wipe leaves occasionally to remove dust.,Prune only to remove yellow or damaged stems; growth is naturally tidy.
