plant_name,user_level,scientific_name,tunisian_name,plant_type,description,watering,light,temperature,humidity,fertilizer,misting,pruning
lavender,debutant,Lavandula angustifolia,خزامى,Plante aromatique ,Plante parfumée qui aime le soleil et les sols secs.,"Arroser modérément, laisser sécher entre deux arrosages.",Plein soleil.,Supporte bien la chaleur et un peu de froid.,"Tolère l'air sec, craint l'humidité stagnante.",Engrais léger une à deux fois par saison.,Brumisation inutile.,Tailler légèrement après floraison pour garder une forme compacte.
lemon,debutant,Citrus limon,ليمون,Agrume,Petit citronnier en pot décoratif et parfumé.,"Garder le sol légèrement humide, sans excès.",Plein soleil ou lumière très vive.,"15–25°C, protéger du gel.",Humidité normale suffisante.,Engrais spécial agrumes toutes les 2 à 4 semaines au printemps et en été.,Brumiser légèrement le feuillage en été si air sec.,Tailler légèrement au printemps pour équilibrer la forme.
mint,debutant,Mentha spicata,نعناع,Plante aromatique,Plante aromatique à croissance rapide.,Garder le sol toujours légèrement humide.,"Lumière vive, supporte la mi-ombre.",15–25°C.,Humidité normale suffisante.,Engrais doux aromatiques toutes les 3 à 4 semaines en saison.,Brumisation légère possible si air très sec.,Couper régulièrement les tiges pour encourager les nouvelles pousses.
monstera,debutant,Monstera deliciosa,مونستيرا,Plante d'intérieur ,Grande plante verte avec feuilles perforées.,Arroser quand les premiers centimètres de terre sont secs.,"Lumière vive sans soleil direct, supporte la mi-ombre.","18–27°C, éviter le froid.",Apprécie une humidité moyenne à élevée.,Engrais plantes vertes toutes les 2 semaines au printemps et été.,Brumiser légèrement les feuilles si air sec.,Couper les tiges trop longues et feuilles jaunes.
oleander,debutant,Nerium oleander,دفلى,Arbuste ornemental ,Arbuste très décoratif mais toxique.,Arroser régulièrement en été quand le sol sèche en surface.,Plein soleil.,"Aime la chaleur, protéger du gel.",Humidité extérieure normale.,Engrais plantes fleuries toutes les 3 à 4 semaines en saison.,Brumisation non nécessaire.,"Tailler après floraison, porter des gants."
olive,debutant,Olea europaea,زيتون,Arbre fruitier ,"Olivier en pot décoratif, aime le soleil.","Arroser modérément, laisser sécher entre deux arrosages.",Plein soleil.,"Supporte chaleur et froid léger, protéger le pot du gel fort.",Humidité normale suffisante.,Engrais arbres fruitiers au printemps et début d'été.,Brumisation non nécessaire.,Tailler légèrement après la croissance pour garder une forme harmonieuse.
orchid,debutant,Phalaenopsis sp.,أوركيديا,Plante d'intérieur ,Orchidée d'intérieur aux fleurs délicates.,"Arroser environ une fois par semaine, bien égoutter.",Lumière vive sans soleil direct.,"18–24°C, éviter les courants d'air.",Apprécie une humidité moyenne à élevée.,Engrais spécial orchidées toutes les 2 à 4 semaines.,Brumiser légèrement autour si air sec.,Couper la hampe fanée au-dessus d'un nœud ou à la base.
peace_lily,debutant,Spathiphyllum wallisii,زنبق السلام,Plante d'intérieur ,"Plante verte avec fleurs blanches, purifie l'air.","Arroser quand le sol sèche en surface, les feuilles se courbent quand elle a soif.",Lumière moyenne à vive sans soleil direct.,18–24°C.,Apprécie une humidité moyenne à élevée.,Engrais plantes vertes toutes les 4 semaines en saison.,Brumiser légèrement les feuilles si air sec.,Enlever fleurs fanées et feuilles jaunes à la base.
peperomia,debutant,Peperomia obtusifolia,بيبيروميا,Plante d'intérieur ,Petite plante compacte idéale pour petits espaces.,"Arroser modérément, laisser sécher le dessus du sol.","Lumière vive indirecte, supporte la mi-ombre.",18–24°C.,Tolère bien l'humidité normale.,Engrais léger plantes vertes toutes les 4 à 6 semaines.,Brumisation occasionnelle si air très sec.,"Retirer les feuilles abîmées, peu de taille nécessaire."
pepper,debutant,Capsicum annuum,فلفل,Légume-fruit,Plante potagère produisant poivrons ou piments.,"Garder le sol légèrement humide, surtout en floraison et fructification.",Plein soleil.,"Aime la chaleur, éviter le froid.","Humidité normale, éviter eau stagnante.",Engrais tomates ou légumes-fruits toutes les 2 à 3 semaines en saison.,Brumisation non nécessaire.,Enlever feuilles abîmées et tiges faibles si besoin.
pomegranate,debutant,Punica granatum,رمان,Arbre fruitier,Petit grenadier décoratif pouvant donner des fruits.,"Arroser modérément, laisser sécher légèrement entre arrosages.",Plein soleil.,"Supporte chaleur et froid léger, protéger en pot des fortes gelées.",Humidité normale suffisante.,Engrais arbres fruitiers au printemps et début d'été.,Brumisation non nécessaire.,Tailler légèrement en fin d'hiver pour équilibrer la structure.
potato,debutant,Solanum tuberosum,بطاطا,Légume-fruit,Plante potagère cultivée pour ses tubercules.,"Garder le sol frais mais pas détrempé, surtout pendant la formation des tubercules.",Plein soleil.,"Climat tempéré, éviter chaleurs ou froids extrêmes.","Humidité normale, éviter excès d'eau.",Compost ou engrais organique à la plantation.,Brumisation non nécessaire.,"Couper parties malades, feuillage sèche en fin de cycle."
rose,debutant,Rosa hybrida,وردة,Arbuste à fleurs,Rosier décoratif aux fleurs colorées.,Arroser régulièrement pour sol légèrement humide.,Plein soleil.,"Supporte le froid, protéger les rosiers en pot en hiver.",Humidité extérieure normale.,Engrais rosiers au printemps puis après première floraison.,Brumisation non nécessaire.,Tailler en fin d'hiver pour stimuler floraison et enlever bois mort.
rosemary,debutant,Salvia rosmarinus,إكليل الجبل,Plante aromatique ,Aromatique parfumée qui aime le soleil.,"Arroser peu, laisser bien sécher entre deux arrosages.",Plein soleil.,Supporte chaleur et un peu de froid.,"Tolère l'air sec, craint l'humidité excessive.","Peu d'engrais, un peu de compost au printemps suffit.",Brumisation non nécessaire.,Tailler légèrement après floraison pour compacter la plante.
rubber_plant,debutant,Ficus elastica,فيكس مطاط,Plante d'intérieur ,Grande plante verte avec feuilles épaisses.,"Arroser quand le sol est sec en surface, réduire en hiver.","Lumière vive indirecte, supporte la mi-ombre.","18–26°C, éviter le froid.","Humidité normale, apprécie un peu plus.",Engrais plantes vertes toutes les 4 semaines en saison.,Brumiser parfois pour enlever la poussière.,Couper tiges trop longues pour contrôler la hauteur.
scented_geranium,debutant,Pelargonium graveolens,عطرشية,Plante aromatique ,Plante à feuilles très parfumées.,"Arroser quand la surface du sol est sèche, plus en été.","Lumière vive, un peu de soleil doux.","15–25°C, éviter le gel.",Humidité normale suffisante.,Engrais plantes fleuries toutes les 2 à 4 semaines en saison.,Brumisation généralement inutile.,Tailler légèrement au printemps pour compacter la plante.
snake_plant,debutant,Dracaena trifasciata,لسان الحما,Plante d'intérieur ,"Plante parfaite pour débutant, supporte l'oubli d'arrosage.","Arroser peu, laisser presque complètement sécher entre arrosages.",Mi-ombre à lumière indirecte vive.,15–28°C.,Tolère très bien l'air sec.,Engrais léger plantes vertes toutes les 6 à 8 semaines en saison.,Brumisation inutile.,Enlever feuilles abîmées à la base.
spider_plant,debutant,Chlorophytum comosum,نبات العنكبوت,Plante d'intérieur ,Plante facile avec rejets retombants.,"Arroser quand le dessus du sol est sec, plus souvent en été.","Lumière vive indirecte, supporte mi-ombre.",18–24°C.,Apprécie une humidité moyenne.,Engrais plantes vertes toutes les 4 semaines en saison.,Brumiser légèrement si air très sec.,Couper pointes brunes et gérer les rejets.
thyme,debutant,Thymus vulgaris,زعتر,Plante aromatique ,Aromatique qui aime le sec et le soleil.,"Arroser peu, laisser bien sécher entre arrosages.",Plein soleil.,Supporte chaleur et un peu de froid.,Tolère bien l'air sec.,"Très peu d'engrais, un peu de compost suffit.",Brumisation non nécessaire.,Tailler légèrement après floraison pour garder une forme compacte.
tomato,debutant,Solanum lycopersicum,طماطم,Légume-fruit,Plante potagère produisant des tomates.,"Garder le sol légèrement humide, surtout en floraison et fructification.",Plein soleil.,"Aime la chaleur, éviter le froid.","Humidité normale, éviter de mouiller trop le feuillage.",Engrais tomates toutes les 2 semaines en saison.,Brumisation non nécessaire.,Tailler les gourmands sur certaines variétés.
tulip,debutant,Tulipa gesneriana,توليب,Bulbe fleuri,Bulbe du printemps aux fleurs colorées.,Arroser modérément pendant croissance et floraison.,Plein soleil ou légère mi-ombre.,"Climat frais à modéré, bulbes aiment une période de froid.","Humidité normale, sol bien drainé.",Engrais bulbes à la plantation et après floraison.,Brumisation non nécessaire.,"Couper fleurs fanées, laisser le feuillage jaunir avant de couper."
zz_plant,debutant,Zamioculcas zamiifolia,زاميفوليا,Plante d'intérieur ,"Plante très résistante, supporte peu de lumière.","Arroser peu, toutes les 2 à 3 semaines quand le sol est sec.","Supporte faible lumière, préfère lumière indirecte moyenne.","18–26°C, éviter le froid.",Tolère très bien l'air sec.,Engrais léger plantes vertes toutes les 6 à 8 semaines en saison.,Brumisation non nécessaire.,Enlever feuilles jaunes ou sèches.
